date,Account,classification,Closed PnL,Size USD,trades_per_day,win,leverage_segment,frequency_segment,consistency_segment,segment
19-02-2025,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,14781.44305,3643.361287,1554,0.451093951,Low Leverage,Frequent,Consistent Winners,Medium Frequency
19-02-2025,0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,196303.7928,2249.731113,3056,0.28763089,Low Leverage,Frequent,Inconsistent,High Frequency
19-02-2025,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,64510.16996,6453.556398,1802,0.34017758,Low Leverage,Frequent,Inconsistent,Medium Frequency
19-02-2025,0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,46257.35819,658.3625777,5602,0.307390218,Low Leverage,Frequent,Inconsistent,High Frequency
19-02-2025,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,100502.4208,3430.149135,2080,0.390384615,High Leverage,Frequent,Consistent Winners,High Frequency
19-02-2025,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,40314.80801,1157.879354,9274,0.320034505,High Leverage,Frequent,Inconsistent,High Frequency
19-02-2025,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,19451.74248,820.6771579,95,0.884210526,High Leverage,Infrequent,Consistent Winners,Low Frequency
19-02-2025,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8751.751449,3072.957692,182,0.269230769,High Leverage,Infrequent,Inconsistent,Low Frequency
19-02-2025,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,21703.81651,8441.060743,525,0.323809524,Low Leverage,Infrequent,Inconsistent,Medium Frequency
19-02-2025,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,553818.0005,1818.587241,7380,0.391056911,High Leverage,Frequent,Consistent Winners,High Frequency
19-02-2025,0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,22488.50082,22504.55583,4838,0.438610996,Low Leverage,Frequent,Consistent Winners,High Frequency
19-02-2025,0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,940157.2127,3210.775186,21190,0.467531855,High Leverage,Frequent,Consistent Winners,High Frequency
19-02-2025,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,325441.9772,8103.972913,2211,0.37222976,Low Leverage,Frequent,Inconsistent,High Frequency
19-02-2025,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,126967.9762,1554.837334,26651,0.384863607,High Leverage,Frequent,Inconsistent,High Frequency
